0.9826,Edit Distance
0.9805,Invert Binary Tree
0.9803,Walls and Gates
0.9796,Trapping Rain Water
0.9795,Meeting Rooms II
0.9794,Longest Increasing Path in a Matrix
0.9791,Find Leaves of Binary Tree
0.9786,Number of Islands II
0.9777,Max Consecutive Ones II
0.9776,Implement Trie (Prefix Tree)
0.9768,Satisfiability of Equality Equations
0.9761,Find Median from Data Stream
0.976,Symmetric Tree
0.9759,House Robber III
0.9754,Longest Substring with At Most Two Distinct Characters
0.9748,Construct Binary Tree from Inorder and Postorder Traversal
0.9747,All Nodes Distance K in Binary Tree
0.9742,Longest Increasing Subsequence
0.9737,Minimum Number of Refueling Stops
0.9733,Subarrays with K Different Integers
0.9732,Subsets
0.9726,Maximal Square
0.9724,Maximum Frequency Stack
0.9717,Minimum Cost For Tickets
0.9714,Reverse Linked List
0.9711,Dungeon Game
0.9705,Binary Tree Level Order Traversal
0.9704,Largest Rectangle in Histogram
0.9701,Max Consecutive Ones III
0.9697,Subarray Sum Equals K
0.9691,Minimum Path Sum
0.9691,Construct Binary Tree from Preorder and Inorder Traversal
0.969,Delete Nodes And Return Forest
0.9688,Search a 2D Matrix II
0.9688,Minimum Swaps to Group All 1's Together
0.9688,Kill Process
0.9688,Daily Temperatures
0.9686,Shortest Subarray with Sum at Least K
0.9682,Partition Equal Subset Sum
0.968,Delete Operation for Two Strings
0.9674,Smallest Range Covering Elements from K Lists
0.9671,House Robber
0.967,Permutations
0.9664,Combination Sum
0.9656,Check Completeness of a Binary Tree
0.9652,Two Sum
0.9652,Burst Balloons
0.9646,Validate Stack Sequences
0.9641,Trapping Rain Water II
0.9633,Maximal Rectangle
0.963,Kth Smallest Element in a BST
0.9622,Same Tree
0.9619,Number of Islands
0.9618,Graph Valid Tree
0.9616,Climbing Stairs
0.9616,Best Time to Buy and Sell Stock with Transaction Fee
0.9615,Maximum Subarray
0.9612,Range Addition
0.9611,LRU Cache
0.9609,Longest Substring with At Most K Distinct Characters
0.9608,Move Zeroes
0.9607,House Robber II
0.9607,Binary Tree Pruning
0.9606,Delete Columns to Make Sorted III
0.9603,Single Number
0.96,Number of Connected Components in an Undirected Graph
0.9595,Coin Change
0.9594,Path Sum II
0.9591,Uncrossed Lines
0.9591,Distribute Coins in Binary Tree
0.959,Capacity To Ship Packages Within D Days
0.9585,Making A Large Island
0.9583,Valid Parenthesis String
0.958,Unique Binary Search Trees
0.9578,Best Time to Buy and Sell Stock with Cooldown
0.9577,Subtree of Another Tree
0.9575,Palindrome Partitioning II
0.9574,Largest Sum of Averages
0.9573,Find K-th Smallest Pair Distance
0.9571,Maximum Width Ramp
0.957,Paint House II
0.9566,Maximum Depth of Binary Tree
0.9564,Plus One Linked List
0.9564,Cheapest Flights Within K Stops
0.9561,Palindrome Partitioning
0.956,Sum Root to Leaf Numbers
0.9553,Permutations II
0.9551,Shortest Path to Get All Keys
0.9545,Recover a Tree From Preorder Traversal
0.9545,Binary Tree Cameras
0.9544,Binary Tree Inorder Traversal
0.9539,Score of Parentheses
0.9532,Remove Invalid Parentheses
0.9532,Flip String to Monotone Increasing
0.953,Bus Routes
0.9526,Maximum Size Subarray Sum Equals k
0.9524,Non-overlapping Intervals
0.9524,Longest Valid Parentheses
0.952,N-Queens
0.9518,Best Time to Buy and Sell Stock
0.9517,Best Time to Buy and Sell Stock III
0.9516,Target Sum
0.9514,Valid Parentheses
0.9514,Shortest Unsorted Continuous Subarray
0.9513,Sliding Puzzle
0.9513,Coin Change 2
0.9511,Course Schedule
0.9509,Maximum Product Subarray
0.9504,Longest Mountain in Array
0.9502,Binary Tree Right Side View
0.9501,Number of Submatrices That Sum to Target
0.9499,Maximum Length of Repeated Subarray
0.9499,Count of Smaller Numbers After Self
0.9498,Max Chunks To Make Sorted II
0.9491,The Maze II
0.9491,Longest Consecutive Sequence
0.949,Last Stone Weight II
0.9488,Closest Binary Search Tree Value II
0.9483,Length of Longest Fibonacci Subsequence
0.9475,Serialize and Deserialize Binary Tree
0.9474,Russian Doll Envelopes
0.9473,Subarray Product Less Than K
0.9469,Palindromic Substrings
0.9466,Word Search
0.9466,The Skyline Problem
0.9464,Letter Tile Possibilities
0.9463,Possible Bipartition
0.9459,Minimum Number of Arrows to Burst Balloons
0.9458,Find First and Last Position of Element in Sorted Array
0.9458,Binary Tree Preorder Traversal
0.9456,Subsets II
0.9456,Factor Combinations
0.9455,Sort List
0.9454,Different Ways to Add Parentheses
0.9452,Largest Divisible Subset
0.9451,Combination Sum III
0.945,Word Break
0.9448,Construct Binary Search Tree from Preorder Traversal
0.9446,Best Sightseeing Pair
0.9442,Partition Labels
0.9441,Combination Sum II
0.9437,Interval List Intersections
0.9437,Binary Tree Postorder Traversal
0.9436,Path Sum III
0.9434,Minimum Increment to Make Array Unique
0.9434,Max Area of Island
0.9433,Shortest Common Supersequence 
0.9432,Decode String
0.9429,Rearrange String k Distance Apart
0.9428,Longest Substring Without Repeating Characters
0.9428,Distinct Subsequences
0.9425,Maximum Sum of Two Non-Overlapping Subarrays
0.9418,Permutation in String
0.9417,Reorganize String
0.9417,Permutation in String
0.9412,Sum of Distances in Tree
0.9412,Serialize and Deserialize N-ary Tree
0.9412,Project Employees III
0.9412,Brick Wall
0.941,Flip Equivalent Binary Trees
0.941,Contiguous Array
0.9403,Recover Binary Search Tree
0.9403,Minimum Window Subsequence
0.9399,Split Array Largest Sum
0.9398,Maximum Sum of 3 Non-Overlapping Subarrays
0.9393,Jump Game II
0.9392,Interleaving String
0.9388,Binary Subarrays With Sum
0.9384,Shortest Distance from All Buildings
0.9383,Sliding Window Maximum
0.9383,Distinct Subsequences II
0.938,Combinations
0.938,Binary Tree Zigzag Level Order Traversal
0.9378,Word Search II
0.9378,Generate Parentheses
0.9378,Course Schedule III
0.9376,Filling Bookcase Shelves
0.9367,Car Pooling
0.9365,Campus Bikes II
0.9364,Minimum Height Trees
0.9363,Robot Room Cleaner
0.9361,Shortest Path with Alternating Colors
0.9359,Diameter of Binary Tree
0.9358,Maximum Depth of N-ary Tree
0.9356,Maximum Depth of N-ary Tree
0.9353,Delete Node in a BST
0.9352,Smallest Sufficient Team
0.9352,Minimum Size Subarray Sum
0.935,Maximum Difference Between Node and Ancestor
0.9349,Convert Sorted List to Binary Search Tree
0.9348,Print FooBar Alternately
0.9348,Minimum Swaps To Make Sequences Increasing
0.9346,Open the Lock
0.9343,Top K Frequent Elements
0.9342,Merge k Sorted Lists
0.934,Partition to K Equal Sum Subsets
0.9339,Tallest Billboard
0.9339,Lowest Common Ancestor of a Binary Tree
0.9338,Kth Smallest Number in Multiplication Table
0.9336,Remove Linked List Elements
0.9336,Group Anagrams
0.9335,Verify Preorder Serialization of a Binary Tree
0.9335,Add and Search Word - Data structure design
0.9334,Sentence Similarity II
0.9334,K-th Smallest Prime Fraction
0.9333,Next Greater Element II
0.9331,Remove K Digits
0.933,Kth Smallest Element in a Sorted Matrix
0.9329,Leaf-Similar Trees
0.9327,Construct Binary Tree from Preorder and Postorder Traversal
0.9327,Binary Tree Longest Consecutive Sequence II
0.9326,Minimum Window Substring
0.9326,Minimum ASCII Delete Sum for Two Strings
0.9325,Maximum Sum Circular Subarray
0.9322,Predict the Winner
0.9321,Wildcard Matching
0.932,Convert BST to Greater Tree
0.9319,Split BST
0.9311,132 Pattern
0.9303,2 Keys Keyboard
0.9301,Merge Two Binary Trees
0.9301,Freedom Trail
0.9297,Sudoku Solver
0.9295,Best Time to Buy and Sell Stock IV
0.9295,Backspace String Compare
0.9294,Number of Distinct Islands
0.9294,Last Stone Weight
0.9289,Unique Paths
0.9286,Game Play Analysis III
0.9285,Ugly Number II
0.9284,Swap For Longest Repeated Character Substring
0.9283,Valid Palindrome II
0.9276,Course Schedule II
0.9274,Reverse Linked List II
0.9271,Duplicate Emails
0.9269,Number of Longest Increasing Subsequence
0.9267,Parsing A Boolean Expression
0.926,Counting Bits
0.926,3Sum Closest
0.9258,Rotting Oranges
0.9257,Inorder Successor in BST
0.9247,Encode String with Shortest Length
0.9245,Lowest Common Ancestor of a Binary Search Tree
0.9244,Binary Tree Maximum Path Sum
0.9243,Remove Nth Node From End of List
0.924,Sum of Subarray Minimums
0.9239,Reorder List
0.9238,Total Hamming Distance
0.9237,Longest Arithmetic Sequence
0.9234,My Calendar I
0.9234,First Unique Character in a String
0.9232,Middle of the Linked List
0.923,Merge Intervals
0.9229,Island Perimeter
0.9228,Minimum Absolute Difference in BST
0.9227,Insert Delete GetRandom O(1)
0.9222,Binary Tree Paths
0.922,Serialize and Deserialize BST
0.9214,Word Pattern II
0.9211,Champagne Tower
0.9208,Find All Anagrams in a String
0.9203,Linked List Cycle II
0.9202,Shortest Bridge
0.9194,Evaluate Division
0.9186,Meeting Rooms
0.9185,Single Element in a Sorted Array
0.9183,Kth Largest Element in an Array
0.9177,Tree Node
0.9174,Design Tic-Tac-Toe
0.9172,Zigzag Iterator
0.9169,Closest Binary Search Tree Value
0.9168,Best Meeting Point
0.9167,Perfect Squares
0.9167,Active Businesses
0.9158,Friend Circles
0.9155,Product of Array Except Self
0.9154,Max Sum of Rectangle No Larger Than K
0.9153,Distant Barcodes
0.9151,Two Sum Less Than K
0.9151,Majority Element
0.9151,Cherry Pickup
0.9149,Advantage Shuffle
0.9148,Maximum Swap
0.9147,Find K Pairs with Smallest Sums
0.9146,4Sum II
0.9142,Number of Matching Subsequences
0.9142,Minimum Cost Tree From Leaf Values
0.9141,Populating Next Right Pointers in Each Node
0.914,Unique Binary Search Trees II
0.9136,Single Number III
0.9135,Longest Repeating Character Replacement
0.9134,Subarray Sums Divisible by K
0.9129,Range Sum Query - Mutable
0.9128,Consecutive Available Seats
0.912,Equal Tree Partition
0.9119,Longest Common Subsequence
0.9118,Smallest Rotation with Highest Score
0.9118,Remove Duplicates from Sorted List II
0.9118,Keys and Rooms
0.9116,Employee Free Time
0.9115,Monotonic Array
0.9114,Balanced Binary Tree
0.9113,Swap Nodes in Pairs
0.9112,Longest Palindromic Substring
0.911,Minimum Add to Make Parentheses Valid
0.9109,Missing Element in Sorted Array
0.9109,Customer Placing the Largest Number of Orders
0.9108,Sort Colors
0.9108,Partition Array into Disjoint Intervals
0.9108,Delete and Earn
0.9104,All Paths From Source to Target
0.9103,Word Squares
0.9103,Parallel Courses
0.9102,Next Greater Node In Linked List
0.9101,Maximum Product of Word Lengths
0.9101,Find Largest Value in Each Tree Row
0.9101,Cousins in Binary Tree
0.9098,Wiggle Subsequence
0.9095,Boats to Save People
0.9091,Highest Grade For Each Student
0.909,Rotate Image
0.909,3Sum Smaller
0.9089,Range Module
0.9087,Hamming Distance
0.9083,Minimum Moves to Equal Array Elements II
0.9083,Flip Game II
0.9082,Number of Squareful Arrays
0.9081,Design Search Autocomplete System
0.908,Intersection of Two Linked Lists
0.9071,Shortest Distance to a Character
0.907,Sort Characters By Frequency
0.907,Find All Numbers Disappeared in an Array
0.9065,Paint House
0.9063,Longest Substring with At Least K Repeating Characters
0.9054,Jump Game
0.9052,Pairs of Songs With Total Durations Divisible by 60
0.9036,Rotate String
0.9035,Maximum Length of Pair Chain
0.9034,Top K Frequent Words
0.903,Encode N-ary Tree to Binary Tree
0.9027,Find All Duplicates in an Array
0.9026,Longest String Chain
0.9023,Remove Duplicate Letters
0.902,Relative Sort Array
0.9015,Count Student Number in Departments
0.9014,Relative Sort Array
0.9014,All Possible Full Binary Trees
0.9012,IPO
0.9011,Video Stitching
0.901,The Maze
0.9009,Connecting Cities With Minimum Cost
0.9008,Minimum Cost to Merge Stones
0.9003,Increasing Triplet Subsequence
0.9,Sales Analysis III
0.9,Game Play Analysis II
0.8996,Remove Duplicates from Sorted List
0.8991,Remove Boxes
0.8985,Shortest Way to Form String
0.8985,Managers with at Least 5 Direct Reports
0.8982,Convert Sorted Array to Binary Search Tree
0.8973,Insert Delete GetRandom O(1) - Duplicates allowed
0.8972,Toeplitz Matrix
0.8972,Pascal's Triangle
0.8972,Number of Subarrays with Bounded Maximum
0.8969,K Closest Points to Origin
0.8968,Find and Replace Pattern
0.8967,Swim in Rising Water
0.8963,Min Stack
0.896,Lexicographically Smallest Equivalent String
0.896,Customers Who Bought All Products
0.8959,Reverse Only Letters
0.8959,Design Hit Counter
0.8952,Verify Preorder Sequence in Binary Search Tree
0.8948,01 Matrix
0.8947,Sort Array By Parity II
0.8947,Shortest Word Distance
0.8936,3Sum
0.8932,Stickers to Spell Word
0.8929,Stickers to Spell Word
0.8929,Path With Maximum Minimum Value
0.8929,Maximum Average Subtree
0.8928,Set Intersection Size At Least Two
0.8925,Reverse Words in a String III
0.892,Largest BST Subtree
0.8919,Partition Array for Maximum Sum
0.8916,Find the Duplicate Number
0.8915,Trim a Binary Search Tree
0.8914,Super Egg Drop
0.8912,Minimum Cost to Hire K Workers
0.891,Grumpy Bookstore Owner
0.8907,Queue Reconstruction by Height
0.8905,Flip Columns For Maximum Number of Equal Rows
0.8895,Longest Palindrome
0.8893,Triangle
0.8893,Remove All Adjacent Duplicates In String
0.8893,Combination Sum IV
0.8885,Koko Eating Bananas
0.8883,Squares of a Sorted Array
0.8881,LFU Cache
0.888,Sort Array By Parity
0.8877,Wiggle Sort
0.8877,Sliding Window Median
0.8876,Basic Calculator
0.8858,Generalized Abbreviation
0.8857,Search in a Sorted Array of Unknown Size
0.8857,Linked List Cycle
0.8849,Employees Earning More Than Their Managers
0.8849,Convert Binary Search Tree to Sorted Doubly Linked List
0.8846,Container With Most Water
0.8844,Sum of Left Leaves
0.8844,Count Different Palindromic Subsequences
0.8843,Search a 2D Matrix
0.8842,Valid Triangle Number
0.8841,Add Bold Tag in String
0.8838,Search in Rotated Sorted Array
0.8838,Majority Element II
0.8832,Minimum Falling Path Sum
0.883,Maximum Average Subarray II
0.883,Binary Search
0.8826,Two Sum IV - Input is a BST
0.8826,Repeated Substring Pattern
0.882,Shortest Path Visiting All Nodes
0.8817,Push Dominoes
0.8812,Maximum Binary Tree
0.8811,Frog Jump
0.8808,Moving Average from Data Stream
0.8805,Letter Case Permutation
0.8797,N-ary Tree Level Order Traversal
0.8793,Shortest Palindrome
0.879,Two City Scheduling
0.8786,Flatten Binary Tree to Linked List
0.8782,Is Graph Bipartite?
0.878,K-Similar Strings
0.8772,Matchsticks to Square
0.8764,Largest Unique Number
0.8762,Letter Combinations of a Phone Number
0.8762,Largest Number
0.876,Insert into a Binary Search Tree
0.8752,Find K-Length Substrings With No Repeated Characters
0.875,Game Play Analysis I
0.8749,Search Insert Position
0.8748,Insert Interval
0.8747,Rectangle Area II
0.8743,Count Complete Tree Nodes
0.8741,Race Car
0.8732,Asteroid Collision
0.873,Word Pattern
0.8728,Longest Palindromic Subsequence
0.8717,Brace Expansion
0.871,Add Two Numbers II
0.8709,Number Complement
0.8709,Find Common Characters
0.8705,Median of Two Sorted Arrays
0.8704,Unique Letter String
0.8704,Couples Holding Hands
0.87,Find the Celebrity
0.8695,N-ary Tree Postorder Traversal
0.8693,Number of Dice Rolls With Target Sum
0.8686,Number Of Corner Rectangles
0.8685,Array Nesting
0.8683,Expression Add Operators
0.8679,Long Pressed Name
0.8675,Merge Two Sorted Lists
0.8669,Combine Two Tables
0.8667,Palindrome Pairs
0.8667,Customers Who Never Order
0.8662,Palindrome Linked List
0.8655,Binary Trees With Factors
0.8653,Bitwise AND of Numbers Range
0.8648,Profitable Schemes
0.8647,Longest Harmonious Subsequence
0.8644,Number of Enclaves
0.864,Minimum Genetic Mutation
0.8632,Strange Printer
0.8628,Valid Anagram
0.8627,Validate Binary Search Tree
0.8621,Longest Chunked Palindrome Decomposition
0.8602,N-ary Tree Preorder Traversal
0.8599,Largest Perimeter Triangle
0.8597,Populating Next Right Pointers in Each Node II
0.8594,Find Minimum in Rotated Sorted Array
0.8593,Minimum Score Triangulation of Polygon
0.859,Number of Music Playlists
0.859,Average of Levels in Binary Tree
0.8585,Palindrome Permutation II
0.8577,Valid Permutations for DI Sequence
0.8571,User Activity for the Past 30 Days I
0.8568,Reshape the Matrix
0.8567,Maximum Vacation Days
0.8563,Shortest Distance in a Line
0.8549,Rank Scores
0.8547,Longest Repeating Substring
0.8547,Find the Town Judge
0.8547,All O`one Data Structure
0.8541,Arithmetic Slices II - Subsequence
0.854,Corporate Flight Bookings
0.8537,Print in Order
0.8529,Hand of Straights
0.8527,Reverse Pairs
0.8521,Lexicographical Numbers
0.8514,Binary Search Tree to Greater Sum Tree
0.8507,Unique Paths II
0.8506,Minimize Max Distance to Gas Station
0.8505,Binary Search Tree Iterator
0.8503,Count of Range Sum
0.8496,Find in Mountain Array
0.8493,Maximum Distance in Arrays
0.8491,Find Eventual Safe States
0.8489,Maximize Distance to Closest Person
0.8478,My Calendar II
0.8476,Basic Calculator II
0.8473,4 Keys Keyboard
0.8468,Time Based Key-Value Store
0.8463,The Earliest Moment When Everyone Become Friends
0.8454,Design In-Memory File System
0.8452,Task Scheduler
0.8447,Range Sum Query 2D - Mutable
0.8445,Spiral Matrix II
0.8444,Ternary Expression Parser
0.8418,Set Matrix Zeroes
0.8391,Flatten a Multilevel Doubly Linked List
0.8384,Find Bottom Left Tree Value
0.8382,Unique Substrings in Wraparound String
0.8375,Univalued Binary Tree
0.8375,Design HashMap
0.8372,Word Ladder II
0.8359,Can I Win
0.8353,Maximum Average Subarray I
0.835,Minimum Number of K Consecutive Bit Flips
0.8348,Pacific Atlantic Water Flow
0.8347,Max Chunks To Make Sorted
0.8344,Jewels and Stones
0.8341,Most Profit Assigning Work
0.8337,Regular Expression Matching
0.8333,Article Views II
0.8332,Monotone Increasing Digits
0.833,Unique Paths III
0.8329,Implement Queue using Stacks
0.8312,Count Binary Substrings
0.8306,Group Shifted Strings
0.8304,Max Stack
0.8301,Game of Life
0.8298,Maximize Sum Of Array After K Negations
0.8291,Patching Array
0.829,Lonely Pixel I
0.829,Binary Tree Level Order Traversal II
0.8288,Add Binary
0.8281,Falling Squares
0.8277,Squirrel Simulation
0.8261,4Sum
0.8257,Number of Valid Subarrays
0.8255,Binary Tree Vertical Order Traversal
0.8252,Optimal Account Balancing
0.8244,Bomb Enemy
0.8241,Excel Sheet Column Title
0.824,Range Sum of BST
0.8236,Find Duplicate Subtrees
0.8231,Increasing Subsequences
0.8228,Arithmetic Slices
0.8225,Excel Sheet Column Number
0.8218,Reverse Nodes in k-Group
0.8216,Lemonade Change
0.8207,Reveal Cards In Increasing Order
0.8199,Alien Dictionary
0.8198,Map Sum Pairs
